,0,1,2
0,1001,5,0
1,1001,5,0
2,1001,5,0
3,1001,5,0
4,1001,5,0
5,1001,5,0
6,1001,5,0
7,1001,5,0
8,1001,5,0
9,1001,5,0
10,1001,5,0
11,1001,5,0
12,1001,5,0
13,1001,5,0
14,1001,5,0
15,1001,5,0
16,1001,5,0
17,1001,5,0
18,1001,5,0
19,1001,5,0
20,1001,5,0
21,1001,5,0
22,1001,5,0
23,1001,5,0
24,1001,5,0
25,1001,5,0
26,1001,5,0
27,1001,5,0
28,1001,5,0
29,1001,5,0
30,1001,5,1
31,1001,5,1
32,1001,5,1
33,1001,5,1
34,1001,5,1
35,1001,5,1
36,1001,5,1
37,1001,5,1
38,1001,5,1
39,1001,5,1
40,1001,5,1
41,1001,5,1
42,1001,5,1
43,1001,5,1
44,1001,5,1
45,1001,5,1
46,1001,5,1
47,1001,5,1
48,1001,5,1
49,1001,5,1
50,1001,5,1
51,1001,5,1
52,1001,5,1
53,1001,5,1
54,1001,5,1
55,1001,5,1
56,1001,5,1
57,1001,5,1
58,1001,5,1
59,1001,5,1
60,1001,5,2
61,1001,5,2
62,1001,5,2
63,1001,5,2
64,1001,5,2
65,1001,5,2
66,1001,5,2
67,1001,5,2
68,1001,5,2
69,1001,5,2
70,1001,5,2
71,1001,5,2
72,1001,5,2
73,1001,5,2
74,1001,5,2
75,1001,5,2
76,1001,5,2
77,1001,5,2
78,1001,5,2
79,1001,5,2
80,1001,5,2
81,1001,5,2
82,1001,5,2
83,1001,5,2
84,1001,5,2
85,1001,5,2
86,1001,5,2
87,1001,5,2
88,1001,5,2
89,1001,5,2
90,1001,5,3
91,1001,5,3
92,1001,5,3
93,1002,1,0
94,1002,1,0
95,1002,1,0
96,1002,1,0
97,1002,1,0
98,1002,1,0
99,1002,1,0
100,1002,1,0
101,1002,1,0
102,1002,1,0
103,1002,1,0
104,1002,1,0
105,1002,1,0
106,1002,1,0
107,1002,1,0
108,1002,1,0
109,1002,1,0
110,1002,1,0
111,1002,1,0
112,1002,1,0
113,1002,1,0
114,1002,1,0
115,1002,1,0
116,1002,1,0
117,1002,1,0
118,1002,1,0
119,1002,1,0
120,1002,1,0
121,1002,1,0
122,1002,1,0
123,1002,1,1
124,1002,1,1
125,1002,1,1
126,1002,1,1
127,1002,1,1
128,1002,1,1
129,1002,1,1
130,1002,1,1
131,1002,1,1
132,1002,1,1
133,1002,1,1
134,1002,1,1
135,1002,1,1
136,1002,1,1
137,1002,1,1
138,1002,1,1
139,1002,1,1
140,1002,1,1
141,1002,1,1
142,1002,1,1
143,1002,1,1
144,1002,1,1
145,1002,1,1
146,1002,1,1
147,1002,1,1
148,1002,1,1
149,1002,1,1
150,1002,1,1
151,1002,1,1
152,1002,1,1
153,1002,1,2
154,1002,1,2
155,1002,1,2
156,1002,1,2
157,1002,1,2
158,1002,1,2
159,1002,1,2
160,1002,1,2
161,1002,1,2
162,1002,1,2
163,1002,1,2
164,1002,1,2
165,1002,1,2
166,1002,1,2
167,1002,1,2
168,1002,1,2
169,1002,1,2
170,1002,1,2
171,1002,1,2
172,1002,1,2
173,1002,1,2
174,1002,1,2
175,1002,1,2
176,1002,1,2
177,1002,1,2
178,1002,1,2
179,1002,1,2
180,1002,1,2
181,1002,1,2
182,1002,1,2
183,1002,1,3
184,1002,1,3
185,1002,1,3
186,1002,1,3
187,1002,1,3
188,1002,1,3
189,1002,1,3
190,1002,3,0
191,1002,3,0
192,1002,3,0
193,1002,3,0
194,1002,3,0
195,1002,3,0
196,1002,3,0
197,1002,3,0
198,1002,3,0
199,1002,3,0
200,1002,3,0
201,1002,3,0
202,1002,3,0
203,1002,3,0
204,1002,3,0
205,1002,3,0
206,1002,3,0
207,1002,3,0
208,1002,3,0
209,1002,3,0
210,1002,3,0
211,1002,3,0
212,1002,3,0
213,1002,3,0
214,1002,3,0
215,1002,3,0
216,1002,3,0
217,1002,3,0
218,1002,3,0
219,1002,3,0
220,1002,3,1
221,1002,3,1
222,1002,3,1
223,1002,3,1
224,1002,3,1
225,1002,3,1
226,1002,3,1
227,1002,3,1
228,1002,3,1
229,1002,3,1
230,1002,3,1
231,1002,3,1
232,1002,3,1
233,1002,3,1
234,1002,3,1
235,1002,3,1
236,1002,3,1
237,1002,3,1
238,1002,3,1
239,1002,3,1
240,1002,3,1
241,1002,3,1
242,1002,3,1
243,1002,3,1
244,1002,3,1
245,1002,3,1
246,1002,3,1
247,1002,3,1
248,1002,3,1
249,1002,3,1
250,1002,3,2
251,1002,3,2
252,1002,3,2
253,1002,3,2
254,1002,3,2
255,1002,3,2
256,1002,3,2
257,1002,3,2
258,1002,3,2
259,1002,3,2
260,1002,3,2
261,1002,3,2
262,1002,3,2
263,1002,3,2
264,1002,3,2
265,1002,3,2
266,1002,3,2
267,1002,3,2
268,1002,3,2
269,1002,3,2
270,1002,3,2
271,1002,3,2
272,1002,3,2
273,1002,3,2
274,1002,3,2
275,1002,3,2
276,1002,3,2
277,1002,3,2
278,1002,3,2
279,1002,3,2
280,1002,3,3
281,1002,3,3
282,1002,3,3
283,1002,3,3
284,1002,3,3
285,1002,3,3
286,1002,3,3
287,1002,3,3
288,1002,3,3
289,1002,3,3
290,1002,3,3
291,1002,3,3
292,1002,3,3
293,1003,0,0
294,1003,0,0
295,1003,0,0
296,1003,0,0
297,1003,0,0
298,1003,0,0
299,1003,0,0
300,1003,0,0
301,1003,0,0
302,1003,0,0
303,1003,0,0
304,1003,0,0
305,1003,0,0
306,1003,0,0
307,1003,0,0
308,1003,0,0
309,1003,0,0
310,1003,0,0
311,1003,0,0
312,1003,0,0
313,1003,0,0
314,1003,0,0
315,1003,0,0
316,1003,0,0
317,1003,0,0
318,1003,0,0
319,1003,0,0
320,1003,0,0
321,1003,0,0
322,1003,0,0
323,1003,0,1
324,1003,0,1
325,1003,0,1
326,1003,0,1
327,1003,0,1
328,1003,0,1
329,1003,0,1
330,1003,0,1
331,1003,0,1
332,1003,0,1
333,1003,0,1
334,1003,0,1
335,1003,0,1
336,1003,0,1
337,1003,0,1
338,1003,0,1
339,1003,0,1
340,1003,0,1
341,1003,0,1
342,1003,0,1
343,1003,0,1
344,1003,0,1
345,1003,0,1
346,1003,0,1
347,1003,0,1
348,1003,0,1
349,1003,0,1
350,1003,0,1
351,1003,0,1
352,1003,0,1
353,1003,0,2
354,1003,0,2
355,1003,0,2
356,1003,0,2
357,1003,0,2
358,1003,0,2
359,1003,0,2
360,1003,0,2
361,1003,0,2
362,1003,0,2
363,1003,0,2
364,1003,0,2
365,1003,0,2
366,1003,0,2
367,1003,0,2
368,1003,0,2
369,1003,0,2
370,1003,0,2
371,1003,0,2
372,1003,0,2
373,1003,0,2
374,1003,0,2
375,1003,0,2
376,1003,0,2
377,1003,0,2
378,1003,0,2
379,1003,0,2
380,1003,0,2
381,1003,0,2
382,1003,0,2
383,1003,0,3
384,1003,0,3
385,1003,0,3
386,1003,0,3
387,1003,1,0
388,1003,1,0
389,1003,1,0
390,1003,1,0
391,1003,1,0
392,1003,1,0
393,1003,1,0
394,1003,1,0
395,1003,1,0
396,1003,1,0
397,1003,1,0
398,1003,1,0
399,1003,1,0
400,1003,1,0
401,1003,1,0
402,1003,1,0
403,1003,1,0
404,1003,1,0
405,1003,1,0
406,1003,1,0
407,1003,1,0
408,1003,1,0
409,1003,1,0
410,1003,1,0
411,1003,1,0
412,1003,1,0
413,1003,1,0
414,1003,1,0
415,1003,1,0
416,1003,1,0
417,1003,1,1
418,1003,1,1
419,1003,1,1
420,1003,1,1
421,1003,1,1
422,1003,1,1
423,1003,1,1
424,1003,1,1
425,1003,1,1
426,1003,1,1
427,1003,1,1
428,1003,1,1
429,1003,1,1
430,1003,1,1
431,1003,1,1
432,1003,1,1
433,1003,1,1
434,1003,1,1
435,1003,1,1
436,1003,1,1
437,1003,1,1
438,1003,1,1
439,1003,1,1
440,1003,1,1
441,1003,1,1
442,1003,1,1
443,1003,1,1
444,1003,1,1
445,1003,1,1
446,1003,1,1
447,1003,1,2
448,1003,1,2
449,1003,1,2
450,1003,1,2
451,1003,1,2
452,1003,1,2
453,1003,1,2
454,1003,1,2
455,1003,1,2
456,1003,1,2
457,1003,1,2
458,1003,1,2
459,1003,1,2
460,1003,1,2
461,1003,1,2
462,1003,1,2
463,1003,1,2
464,1003,1,2
465,1003,1,2
466,1003,1,2
467,1003,1,2
468,1003,1,2
469,1003,1,2
470,1003,1,2
471,1003,1,2
472,1003,1,2
473,1003,1,2
474,1003,1,2
475,1003,1,2
476,1003,1,2
477,1003,1,3
478,1003,1,3
479,1003,1,3
480,1003,1,3
481,1003,1,3
482,1003,1,3
483,1003,1,3
484,1003,2,0
485,1003,2,0
486,1003,2,0
487,1003,2,0
488,1003,2,0
489,1003,2,0
490,1003,2,0
491,1003,2,0
492,1003,2,0
493,1003,2,0
494,1003,2,0
495,1003,2,0
496,1003,2,0
497,1003,2,0
498,1003,2,0
499,1003,2,0
500,1003,2,0
501,1003,2,0
502,1003,2,0
503,1003,2,0
504,1003,2,0
505,1003,2,0
506,1003,2,0
507,1003,2,0
508,1003,2,0
509,1003,2,0
510,1003,2,0
511,1003,2,0
512,1003,2,0
513,1003,2,0
514,1003,2,1
515,1003,2,1
516,1003,2,1
517,1003,2,1
518,1003,2,1
519,1003,2,1
520,1003,2,1
521,1003,2,1
522,1003,2,1
523,1003,2,1
524,1003,2,1
525,1003,2,1
526,1003,2,1
527,1003,2,1
528,1003,2,1
529,1003,2,1
530,1003,2,1
531,1003,2,1
532,1003,2,1
533,1003,2,1
534,1003,2,1
535,1003,2,1
536,1003,2,1
537,1003,2,1
538,1003,2,1
539,1003,2,1
540,1003,2,1
541,1003,2,1
542,1003,2,1
543,1003,2,1
544,1003,2,2
545,1003,2,2
546,1003,2,2
547,1003,2,2
548,1003,2,2
549,1003,2,2
550,1003,2,2
551,1003,2,2
552,1003,2,2
553,1003,2,2
554,1003,2,2
555,1003,2,2
556,1003,2,2
557,1003,2,2
558,1003,2,2
559,1003,2,2
560,1003,2,2
561,1003,2,2
562,1003,2,2
563,1003,2,2
564,1003,2,2
565,1003,2,2
566,1003,2,2
567,1003,2,2
568,1003,2,2
569,1003,2,2
570,1003,2,2
571,1003,2,2
572,1003,2,2
573,1003,2,2
574,1003,2,3
575,1003,2,3
576,1003,2,3
577,1003,2,3
578,1003,2,3
579,1003,2,3
580,1003,2,3
581,1003,2,3
582,1003,2,3
583,1003,2,3
584,1003,2,3
585,1003,2,3
586,1003,2,3
587,1003,2,3
588,1003,2,3
589,1003,2,3
590,1003,2,3
591,1003,2,3
592,1003,2,3
593,1003,2,3
594,1003,2,3
595,1003,2,3
596,1003,2,3
597,1003,2,3
598,1003,2,3
599,1003,2,3
600,1003,2,3
601,1003,2,3
602,1003,2,3
603,1003,3,0
604,1003,3,0
605,1003,3,0
606,1003,3,0
607,1003,3,0
608,1003,3,0
609,1003,3,0
610,1003,3,0
611,1003,3,0
612,1003,3,0
613,1003,3,0
614,1003,3,0
615,1003,3,0
616,1003,3,0
617,1003,3,0
618,1003,3,0
619,1003,3,0
620,1003,3,0
621,1003,3,0
622,1003,3,0
623,1003,3,0
624,1003,3,0
625,1003,3,0
626,1003,3,0
627,1003,3,0
628,1003,3,0
629,1003,3,0
630,1003,3,0
631,1003,3,0
632,1003,3,0
633,1003,3,1
634,1003,3,1
635,1003,3,1
636,1003,3,1
637,1003,3,1
638,1003,3,1
639,1003,3,1
640,1003,3,1
641,1003,3,1
642,1003,3,1
643,1003,3,1
644,1003,3,1
645,1003,3,1
646,1003,3,1
647,1003,3,1
648,1003,3,1
649,1003,3,1
650,1003,3,1
651,1003,3,1
652,1003,3,1
653,1003,3,1
654,1003,3,1
655,1003,3,1
656,1003,3,1
657,1003,3,1
658,1003,3,1
659,1003,3,1
660,1003,3,1
661,1003,3,1
662,1003,3,1
663,1003,3,2
664,1003,3,2
665,1003,3,2
666,1003,3,2
667,1003,3,2
668,1003,3,2
669,1003,3,2
670,1003,3,2
671,1003,3,2
672,1003,3,2
673,1003,3,2
674,1003,3,2
675,1003,3,2
676,1003,3,2
677,1003,3,2
678,1003,3,2
679,1003,3,2
680,1003,3,2
681,1003,3,2
682,1003,3,2
683,1003,3,2
684,1003,3,2
685,1003,3,2
686,1003,3,2
687,1003,3,2
688,1003,3,2
689,1003,3,2
690,1003,3,2
691,1003,3,2
692,1003,3,2
693,1003,3,3
694,1003,3,3
695,1003,3,3
696,1003,3,3
697,1003,3,3
698,1003,3,3
699,1003,3,3
700,1003,3,3
701,1003,3,3
702,1003,3,3
703,1003,3,3
704,1003,3,3
705,1003,3,3
706,1003,3,3
707,1003,4,0
