ID,Session,WindowLength,Shrinkage,Kernel,nClusters,SilhouetteCoefficient,CalinskiHarabaszScore,RiemannianVariance,DaviesBouldinIndex,GeodesicDistanceRatio,RandScoreActivities,RandScoreSessions,RandScoreIds,nActivities
all,all,15,0.0,lwf,8,,3270.6306,"[np.float64(12.635017456672694), np.float64(11.75963482098818), np.float64(13.727897386515233), np.float64(13.18373849425941), np.float64(12.318814566419391), np.float64(15.782816418700262), np.float64(9.870629665876736), np.float64(15.555246518408474)]",15.051736635212135,1.490106787386702,0.0011551317797045932,0.005004208615586701,,1809
all,all,15,0.0,lwf,9,,3084.2678,"[np.float64(12.93406230187492), np.float64(12.21598783809515), np.float64(9.375471230237034), np.float64(12.669940024942898), np.float64(11.097046964314977), np.float64(12.700061204673615), np.float64(14.303560631068638), np.float64(13.789522692500267), np.float64(16.140322633719766)]",14.600069295990279,1.4744013008220396,0.0008042633256624295,0.004849430368365782,,1809
all,all,15,0.0,tyl,3,,6788.792,"[np.float64(28.21459313723214), np.float64(19.685841207001133), np.float64(30.66670857152169)]",23.31947275588088,2.139194445465623,0.0030779534831872108,0.002169605968585918,,1809
all,all,15,0.0,tyl,4,,4949.377,"[np.float64(18.52607313892095), np.float64(25.897573026220172), np.float64(28.453291918020312), np.float64(29.993029887944417)]",24.51744298255116,1.9834518826751413,0.001338384169026289,0.003269850051336743,,1809
all,all,15,0.0,tyl,5,,3885.6418,"[np.float64(18.079058420910467), np.float64(28.31110197349878), np.float64(26.012206336131225), np.float64(23.577544493143932), np.float64(30.12149815989759)]",23.316640967626675,1.9661969205405108,0.0013190093906270243,0.004059648274608012,,1809
all,all,15,0.0,tyl,6,,3722.2224,"[np.float64(28.241105075463974), np.float64(21.509732580315575), np.float64(28.5209327938562), np.float64(17.732884740525115), np.float64(29.245211812907254), np.float64(24.053372821956533)]",22.777179424305007,1.8084971914674324,0.001623101982322285,0.005172813203963701,,1809
all,all,15,0.0,tyl,7,,3407.6782,"[np.float64(25.741849020868386), np.float64(28.138442066799886), np.float64(16.663407057156203), np.float64(20.458638343881745), np.float64(27.425863378334874), np.float64(27.511190461949653), np.float64(26.194930133730434)]",24.272913314439883,1.8273839438213448,0.0011621899929401735,0.004935937942385393,,1809
all,all,15,0.0,tyl,8,,2968.9011,"[np.float64(25.953581040443186), np.float64(20.43958705092894), np.float64(16.11028059604255), np.float64(27.446261349107683), np.float64(23.173364209143777), np.float64(31.842279823447264), np.float64(26.703173453563085), np.float64(23.47306233583999)]",22.412910727566313,1.7981723381131511,0.0009387174937601147,0.004150776745423722,,1809
all,all,15,0.0,tyl,9,,2871.335,"[np.float64(31.56179990148723), np.float64(27.787733767093748), np.float64(26.716530953126377), np.float64(29.401404753123053), np.float64(24.27535361503258), np.float64(21.713246116560907), np.float64(24.07940342163269), np.float64(16.300795440096596), np.float64(19.859254017971494)]",23.226959011812188,1.6568568236472199,0.0012945721606998964,0.004580919808183676,,1809
all,all,15,0.0,corr,3,,11081.072,"[np.float64(19.53240339405669), np.float64(20.548578927181115), np.float64(20.316153067461936)]",20.067197007519844,2.048749266497711,0.00010329516347852548,0.001500075566586849,,1809
all,all,15,0.0,corr,4,,8516.301,"[np.float64(15.804173024124239), np.float64(24.41466272812766), np.float64(22.835852008838803), np.float64(19.610691117080368)]",18.996567088304502,1.7801435519421758,0.0025366809039181542,0.0032284947815053957,,1809
all,all,15,0.0,corr,5,,7469.282,"[np.float64(19.9301202244318), np.float64(20.49282332374171), np.float64(25.51913035306984), np.float64(13.773809027273266), np.float64(21.610126766385097)]",19.002400509392107,1.7101004815059373,0.0011394434294513642,0.004795163094597329,,1809
all,all,15,0.0,corr,6,,6795.3237,"[np.float64(21.72773840283104), np.float64(24.239292178198816), np.float64(19.6233684082162), np.float64(19.960691086635723), np.float64(13.657083164152727), np.float64(19.91275118549059)]",19.30435243722859,1.614276141415301,0.0006892982819234387,0.0036537660019902067,,1809
